cla_id,cla_Name,bf_StudentID
925,高三(10),13564
925,高三(10),14379
925,高三(10),13973
925,高三(10),13984
925,高三(10),13990
925,高三(10),14000
925,高三(10),14004
925,高三(10),14019
925,高三(10),14029
925,高三(10),14047
925,高三(10),14087
925,高三(10),14115
925,高三(10),14121
925,高三(10),14358
925,高三(10),14143
925,高三(10),14150
925,高三(10),14155
925,高三(10),14163
925,高三(10),14185
925,高三(10),14186
925,高三(10),14189
925,高三(10),14197
925,高三(10),14215
925,高三(10),14224
925,高三(10),14225
925,高三(10),14227
925,高三(10),14229
925,高三(10),14239
925,高三(10),14250
925,高三(10),14254
925,高三(10),14255
925,高三(10),14256
925,高三(10),14261
925,高三(10),14271
925,高三(10),14294
925,高三(10),14298
925,高三(10),14316
925,高三(10),14329
925,高三(10),14332
925,高三(10),14341
925,高三(10),14345
925,高三(10),14354
925,高三(10),14450
925,高三(10),14451
925,高三(10),14452
